id_orden,fecha,id_cliente,id_producto,total,canal
5077,2026-04-09,102,2012,20000,web
5078,2026-04-09,110,2011,35000,app
5079,2026-04-09,107,2005,140000,app
5080,2026-04-09,106,2009,240000,app
5081,2026-04-09,124,2011,70000,web
5082,2026-04-09,103,2005,140000,web
5083,2026-04-09,118,2012,40000,web
5084,2026-04-09,101,2009,240000,web
5085,2026-04-09,112,2009,240000,app
5086,2026-04-09,104,2008,80000,app
5087,2026-04-09,120,2018,75000,app
5088,2026-04-09,121,2003,60000,app
5089,2026-04-09,121,2014,12000,web
5090,2026-04-09,102,2002,560000,app
