id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda
61,2026-04-06,120,2017,3,130000,Ñuñoa
62,2026-04-06,115,2006,2,100000,Concepción
63,2026-04-06,109,2008,3,80000,La Florida
64,2026-04-06,116,2008,2,80000,La Florida
65,2026-04-06,103,2010,2,25000,Las Condes
66,2026-04-06,111,2011,1,35000,Valparaíso
67,2026-04-06,105,2005,2,70000,Las Condes
68,2026-04-06,123,2005,1,70000,Las Condes
69,2026-04-06,114,2014,3,12000,Puente Alto
70,2026-04-06,115,2014,1,12000,Santiago
71,2026-04-06,114,2013,3,45000,Temuco
72,2026-04-06,101,2013,1,45000,Concepción
73,2026-04-06,112,2010,2,25000,Ñuñoa
74,2026-04-06,118,2018,1,75000,Temuco
75,2026-04-06,116,2008,2,80000,La Florida
76,2026-04-06,116,2001,2,140000,Ñuñoa
77,2026-04-06,122,2013,2,45000,Maipú
78,2026-04-06,105,2018,2,75000,Santiago
