id_orden,fecha,id_cliente,id_producto,total,canal
5091,2026-04-10,124,2012,20000,web
5092,2026-04-10,119,2018,75000,app
5093,2026-04-10,114,2012,20000,app
5094,2026-04-10,110,2010,25000,app
5095,2026-04-10,119,2017,130000,web
5096,2026-04-10,122,2016,45000,web
5097,2026-04-10,112,2018,75000,app
5098,2026-04-10,125,2009,240000,web
5099,2026-04-10,118,2018,150000,web
5100,2026-04-10,101,2006,200000,app
5101,2026-04-10,111,2012,20000,web
5102,2026-04-10,105,2013,45000,web
5103,2026-04-10,124,2001,140000,web
5104,2026-04-10,113,2014,24000,app
5105,2026-04-10,106,2012,40000,app
