id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda
131,2026-04-05,102,2009,1,117268,La Serena
132,2026-04-05,104,2006,1,101874,La Florida
133,2026-04-05,109,2008,2,83242,Santiago
134,2026-04-05,102,2007,2,47720,Puente Alto
135,2026-04-05,103,2005,1,71688,Concepcion
136,2026-04-05,107,2009,1,115342,Maipu
137,2026-04-05,109,2001,2,141155,Maipu
138,2026-04-05,107,2003,1,29424,Santiago
139,2026-04-05,106,2004,3,14624,Providencia
140,2026-04-05,106,2009,2,125686,Maipu
141,2026-04-05,104,2003,1,31144,Santiago
142,2026-04-05,103,2006,2,103022,Las Condes
143,2026-04-05,105,2003,3,28824,Santiago
144,2026-04-05,108,2004,1,15474,Temuco
145,2026-04-05,106,2005,1,68060,Las Condes
45,2026-04-05,111,2014,2,12000,Las Condes
46,2026-04-05,106,2004,1,15000,Ñuñoa
47,2026-04-05,116,2008,2,80000,Las Condes
48,2026-04-05,112,2010,1,25000,Las Condes
49,2026-04-05,101,2007,2,50000,Ñuñoa
50,2026-04-05,109,2003,2,30000,La Florida
51,2026-04-05,121,2017,3,130000,Ñuñoa
52,2026-04-05,118,2011,1,35000,Santiago
53,2026-04-05,109,2006,2,100000,Temuco
54,2026-04-05,102,2004,2,15000,Temuco
55,2026-04-05,112,2011,3,35000,Ñuñoa
56,2026-04-05,117,2004,3,15000,Ñuñoa
57,2026-04-05,107,2009,3,120000,Santiago
58,2026-04-05,114,2001,3,140000,Valparaíso
59,2026-04-05,122,2007,2,50000,Puente Alto
60,2026-04-05,103,2011,2,35000,Temuco
